Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       39     0.00     0.00  int& std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00      0.00     0.00       39     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.00      0.00     0.00       39     0.00     0.00  std::vector<int, std::allocator<int> >::back()
  0.00      0.00     0.00       39     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int&&)
  0.00      0.00     0.00       39     0.00     0.00  decltype (::new ((void*)(0)) int((declval<int>)())) std::construct_at<int, int>(int*, int&&)
  0.00      0.00     0.00       39     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.00     0.00       36     0.00     0.00  bool __gnu_cxx::operator==<KDNode**, KDNode**, std::vector<KDNode*, std::allocator<KDNode*> > >(__gnu_cxx::__normal_iterator<KDNode**, std::vector<KDNode*, std::allocator<KDNode*> > > const&, __gnu_cxx::__normal_iterator<KDNode**, std::vector<KDNode*, std::allocator<KDNode*> > > const&)
  0.00      0.00     0.00       34     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
  0.00      0.00     0.00       31     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00      0.00     0.00       30     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.00     0.00       30     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.00     0.00       30     0.00     0.00  std::vector<int, std::allocator<int> >* std::__niter_base<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*)
  0.00      0.00     0.00       30     0.00     0.00  std::remove_reference<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>::type&& std::move<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&)
  0.00      0.00     0.00       30     0.00     0.00  std::vector<int, std::allocator<int> >&& std::forward<std::vector<int, std::allocator<int> > >(std::remove_reference<std::vector<int, std::allocator<int> > >::type&)
  0.00      0.00     0.00       28     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00       28     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.00     0.00       28     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.00     0.00       28     0.00     0.00  void std::destroy_at<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      0.00     0.00       27     0.00     0.00  __gnu_cxx::__normal_iterator<KDNode**, std::vector<KDNode*, std::allocator<KDNode*> > >::operator++()
  0.00      0.00     0.00       27     0.00     0.00  __gnu_cxx::__normal_iterator<KDNode**, std::vector<KDNode*, std::allocator<KDNode*> > >::operator*() const
  0.00      0.00     0.00       27     0.00     0.00  std::allocator<KDNode*>::~allocator()
  0.00      0.00     0.00       27     0.00     0.00  std::_Vector_base<KDNode*, std::allocator<KDNode*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       22     0.00     0.00  eucledian_distance(std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >)
  0.00      0.00     0.00       21     0.00     0.00  std::unique_ptr<KDTree, std::default_delete<KDTree> >::get() const
  0.00      0.00     0.00       21     0.00     0.00  std::__uniq_ptr_impl<KDTree, std::default_delete<KDTree> >::_M_ptr() const
  0.00      0.00     0.00       21     0.00     0.00  std::_Head_base<0ul, KDTree*, false>::_M_head(std::_Head_base<0ul, KDTree*, false> const&)
  0.00      0.00     0.00       21     0.00     0.00  std::_Tuple_impl<0ul, KDTree*, std::default_delete<KDTree> >::_M_head(std::_Tuple_impl<0ul, KDTree*, std::default_delete<KDTree> > const&)
  0.00      0.00     0.00       21     0.00     0.00  KDTree* const& std::__get_helper<0ul, KDTree*, std::default_delete<KDTree> >(std::_Tuple_impl<0ul, KDTree*, std::default_delete<KDTree> > const&)
  0.00      0.00     0.00       21     0.00     0.00  std::tuple_element<0ul, std::tuple<KDTree*, std::default_delete<KDTree> > >::type const& std::get<0ul, KDTree*, std::default_delete<KDTree> >(std::tuple<KDTree*, std::default_delete<KDTree> > const&)
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const
  0.00      0.00     0.00       19     0.00     0.00  std::unique_ptr<KDTree, std::default_delete<KDTree> >::operator->() const
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<KDNode*>::new_allocator(__gnu_cxx::new_allocator<KDNode*> const&)
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::__normal_iterator<KDNode**, std::vector<KDNode*, std::allocator<KDNode*> > >::__normal_iterator(KDNode** const&)
  0.00      0.00     0.00       18     0.00     0.00  std::initializer_list<KDNode*>::begin() const
  0.00      0.00     0.00       18     0.00     0.00  std::vector<int, std::allocator<int> >::capacity() const
  0.00      0.00     0.00       18     0.00     0.00  std::allocator<KDNode*>::allocator(std::allocator<KDNode*> const&)
  0.00      0.00     0.00       18     0.00     0.00  KDNode* const* std::__miter_base<KDNode* const*>(KDNode* const*)
  0.00      0.00     0.00       18     0.00     0.00  KDNode* const* std::__niter_base<KDNode* const*>(KDNode* const*)
  0.00      0.00     0.00       17     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_propagate_on_copy_assign()
  0.00      0.00     0.00       17     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  0.00      0.00     0.00       16     0.00     0.00  std::remove_reference<std::vector<int, std::allocator<int> >&>::type&& std::move<std::vector<int, std::allocator<int> >&>(std::vector<int, std::allocator<int> >&)
  0.00      0.00     0.00       15     0.00     0.00  KDNode::KDNode()
  0.00      0.00     0.00       15     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&&)
  0.00      0.00     0.00       15     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data&&)
  0.00      0.00     0.00       15     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::_Vector_base<int, std::allocator<int> >&&)
  0.00      0.00     0.00       15     0.00     0.00  void std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::destroy<std::vector<int, std::allocator<int> > >(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*)
  0.00      0.00     0.00       15     0.00     0.00  void std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >&&)
  0.00      0.00     0.00       15     0.00     0.00  int* std::vector<int, std::allocator<int> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(unsigned long, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00       15     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> >&&)
  0.00      0.00     0.00       15     0.00     0.00  decltype (::new ((void*)(0)) std::vector<int, std::allocator<int> >((declval<std::vector<int, std::allocator<int> > >)())) std::construct_at<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >&&)
  0.00      0.00     0.00       15     0.00     0.00  void std::__relocate_object_a<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      0.00     0.00       13     0.00     0.00  KDTree::insert(std::vector<int, std::allocator<int> >)
  0.00      0.00     0.00       13     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_range_check(unsigned long) const
  0.00      0.00     0.00       13     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::at(unsigned long) const
  0.00      0.00     0.00       13     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) const
